name,location,address1,city,state,zip,full_address
Dollar Tree #3594,Philadelphia,101 East Olney Ave,Philadelphia,PA,19120,"101 East Olney Ave Philadelphia, PA 19120"
Dollar Tree #1688,Philadelphia Home & Design Cen,101 Franklin Mills Blvd,Philadelphia,PA,19154,"101 Franklin Mills Blvd Philadelphia, PA 19154"
Dollar Tree #3106,Boulevard Plaza,11000 Roosevelt Blvd,Philadelphia,PA,19116,"11000 Roosevelt Blvd Philadelphia, PA 19116"
Dollar Tree #7688,1100 W Girard Ave,1100 W Girard Ave,Philadelphia,PA,19123,"1100 W Girard Ave Philadelphia, PA 19123"
Dollar Tree #1604,Underground Concourse,1601 Market Street,Philadelphia,PA,19103,"1601 Market Street Philadelphia, PA 19103"
Dollar Tree #3984,Grant Plaza,1619 Grant Avenue,Philadelphia,PA,19115,"1619 Grant Avenue Philadelphia, PA 19115"
Dollar Tree #3834,Oregon Avenue Shopping Center,2017 W Oregon Avenue,Philadelphia,PA,19145,"2017 W Oregon Avenue Philadelphia, PA 19145"
Dollar Tree #1656,Former Sears Auto,2100 Cottman Ave,Philadelphia,PA,19149,"2100 Cottman Ave Philadelphia, PA 19149"
Dollar Tree #3300,Columbus Commons,2116 S. Columbus Blvd.,Philadelphia,PA,19148,"2116 S. Columbus Blvd. Philadelphia, PA 19148"
Dollar Tree #1632,South Philadelphia Shopping Ce,2437 S 23rd Street,Philadelphia,PA,19145,"2437 S 23rd Street Philadelphia, PA 19145"
Dollar Tree #4892,Port Richmond Shopping Center,2489 Aramingo Ave,Philadelphia,PA,19125,"2489 Aramingo Ave Philadelphia, PA 19125"
Dollar Tree #7290,Former Church,2500 Wharton Street,Philadelphia,PA,19146,"2500 Wharton Street Philadelphia, PA 19146"
Dollar Tree #7154,2601 Girard Ave,2601 Girard Ave.,Philadelphia,PA,19130,"2601 Girard Ave. Philadelphia, PA 19130"
Dollar Tree #4269,Blue Bell Shopping Center,2910 S 70th Street Suite 3B,Philadelphia,PA,19142,"2910 S 70th Street Suite 3B Philadelphia, PA 19142"
